City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Furano,JP,2022-07-16 19:22:58,43.2818,142.4743,58.93,98,100,4.63
117,Baracoa,CU,2022-07-16 19:22:58,20.3467,-74.4958,86.41,66,100,10.16
118,Viedma,AR,2022-07-16 19:22:59,-40.8135,-62.9967,46.53,46,6,15.57
119,Ilhabela,BR,2022-07-16 19:22:59,-23.7781,-45.3581,79.39,58,100,4.12
120,Leningradskiy,RU,2022-07-16 19:23:00,69.3833,178.4167,35.37,91,100,4.09
121,Indiana,US,2022-07-16 19:20:42,40.0003,-86.2503,89.78,58,75,10.36
122,Lavrentiya,RU,2022-07-16 19:23:00,65.5833,-171.0,47.35,67,94,5.91
123,Santa Barbara,US,2022-07-16 19:22:17,34.7333,-120.0343,99.34,36,0,5.75
124,Boras,SE,2022-07-16 19:23:00,57.721,12.9401,61.83,56,9,5.99
125,Nikolskoye,RU,2022-07-16 19:18:15,59.7035,30.7861,57.09,90,40,4.83
126,Praia Da Vitoria,PT,2022-07-16 19:23:01,38.7333,-27.0667,74.75,78,75,12.82
127,Te Anau,NZ,2022-07-16 19:23:01,-45.4167,167.7167,41.41,96,100,6.98
128,Esperance,AU,2022-07-16 19:23:02,-33.8667,121.9,55.08,74,49,2.75
129,Brigantine,US,2022-07-16 19:23:02,39.4101,-74.3646,86.04,69,20,10.36
130,Zanjan,IR,2022-07-16 19:23:03,36.6736,48.4787,72.7,50,0,8.08
131,Waterloo,CA,2022-07-16 19:22:12,43.4668,-80.5164,85.01,28,0,5.75
132,Kodiak,US,2022-07-16 19:23:03,57.79,-152.4072,56.71,88,100,6.91
133,Salalah,OM,2022-07-16 19:23:03,17.0151,54.0924,78.8,90,100,4.68
134,Yaan,NG,2022-07-16 19:23:04,7.3833,8.5667,72.95,94,100,6.64
135,Kurumkan,RU,2022-07-16 19:23:04,54.3,110.3,54.68,92,36,3.96
